Rank,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,TD,FantPt
1,Drew Brees*\BreeDr00,NOR,QB,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,0,346
2,Aaron Rodgers*\RodgAa00,GNB,QB,29,16,16,371,552,4295,39,8,54,259,4.80,2,1,1,-1,0,344
3,Tom Brady*\BradTo00,NWE,QB,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,0,340
4,Cam Newton\NewtCa00,CAR,QB,23,16,16,280,485,3869,19,12,127,741,5.83,8,1,0,6,0,323
5,Robert Griffin*\GrifRo01,WAS,QB,22,15,15,258,393,3200,20,5,120,815,6.79,7,1,0,0,0,318
6,Peyton Manning*+\MannPe00,DEN,QB,36,16,16,400,583,4659,37,11,23,6,0.26,0,0,0,0,0,311
7,Adrian Peterson*+\PeteAd01,MIN,RB,27,16,16,0,0,0,0,0,348,2097,6.03,12,51,40,217,1,307
8,Matt Ryan*\RyanMa00,ATL,QB,27,16,16,422,615,4719,32,14,34,141,4.15,1,0,0,0,0,305
9,Tony Romo\RomoTo00,DAL,QB,32,16,16,425,648,4903,28,19,30,49,1.63,1,1,1,-1,0,279
10,Russell Wilson*\WilsRu00,SEA,QB,24,16,16,252,393,3118,26,10,94,489,5.20,4,0,0,0,0,278
11,Andrew Luck*\LuckAn00,IND,QB,23,16,16,339,627,4374,23,18,62,255,4.11,5,0,0,0,0,276
12,Matthew Stafford\StafMa00,DET,QB,24,16,16,435,727,4967,20,17,35,126,3.60,4,1,1,3,0,276
13,Doug Martin*\MartDo00,TAM,RB,23,16,16,0,0,0,0,0,319,1454,4.56,11,70,49,472,1,263
14,Arian Foster*\FostAr00,HOU,RB,26,16,16,0,0,0,0,0,351,1424,4.06,15,58,40,217,2,262
15,Andy Dalton\DaltAn00,CIN,QB,25,16,16,329,528,3669,27,16,47,120,2.55,4,0,0,0,0,251
16,Josh Freeman\FreeJo00,TAM,QB,24,16,16,306,558,4065,27,17,39,139,3.56,0,0,0,0,0,249
17,Marshawn Lynch*+\LyncMa00,SEA,RB,26,16,15,0,0,0,0,0,315,1590,5.05,11,30,23,196,1,247
18,Alfred Morris\MorrAl00,WAS,RB,24,16,16,0,0,0,0,0,335,1613,4.81,13,16,11,77,0,241
19,Joe Flacco\FlacJo00,BAL,QB,27,16,16,317,531,3817,22,10,32,22,0.69,3,0,0,0,0,235
20,Eli Manning*\MannEl00,NYG,QB,31,16,16,321,536,3948,26,15,20,30,1.50,0,0,0,0,0,233
21,Sam Bradford\BradSa00,STL,QB,25,16,16,328,551,3702,21,13,36,124,3.44,1,0,0,0,0,231
22,Matt Schaub*\SchaMa00,HOU,QB,31,16,16,350,544,4008,22,12,21,-9,-0.43,0,1,1,-6,0,225
23,Carson Palmer\PalmCa00,OAK,QB,33,15,15,345,565,4018,22,14,18,36,2.00,1,0,0,0,0,224
24,Ben Roethlisberger\RoetBe00,PIT,QB,30,13,13,284,449,3265,26,8,26,92,3.54,0,0,0,0,0,224
25,Ray Rice*\RiceRa00,BAL,RB,25,16,16,0,0,0,0,0,257,1143,4.45,9,83,61,478,1,222
26,Calvin Johnson*+\JohnCa00,DET,WR,27,16,16,0,0,0,0,0,0,0,,0,204,122,1964,5,220
27,Brandon Marshall*+\MarsBr00,CHI,WR,28,16,16,0,0,0,0,0,1,-2,-2.00,0,192,118,1508,11,217
28,Ryan Fitzpatrick\FitzRy00,BUF,QB,30,16,16,306,505,3400,24,16,48,197,4.10,1,0,0,0,0,214
29,C.J. Spiller*\SpilC.00,BUF,RB,25,16,9,0,0,0,0,0,207,1244,6.01,6,57,43,459,2,212
30,Dez Bryant\BryaDe01,DAL,WR,24,16,14,0,0,0,0,0,2,-5,-2.50,0,138,92,1382,12,208
31,Philip Rivers\RivePh00,SDG,QB,31,16,16,338,527,3606,26,15,27,40,1.48,0,1,0,0,0,208
32,Jamaal Charles*\CharJa00,KAN,RB,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,1,205
33,Trent Richardson\RichTr00,CLE,RB,22,15,15,0,0,0,0,0,267,950,3.56,11,70,51,367,1,204
34,A.J. Green*\GreeA.00,CIN,WR,24,16,16,0,0,0,0,0,4,38,9.50,0,164,97,1350,11,203
35,Stevan Ridley\RidlSt00,NWE,RB,23,16,12,0,0,0,0,0,290,1263,4.36,12,14,6,51,0,199
36,Frank Gore*\GoreFr00,SFO,RB,29,16,16,0,0,0,0,0,258,1214,4.71,8,36,28,234,1,197
37,Demaryius Thomas*\ThomDe03,DEN,WR,25,16,16,0,0,0,0,0,0,0,,0,143,94,1434,10,197
38,Christian Ponder\PondCh00,MIN,QB,24,16,16,300,483,2935,18,12,60,253,4.22,2,1,1,-15,0,193
39,Vincent Jackson*\JackVi00,TAM,WR,29,16,16,0,0,0,0,0,0,0,,0,147,72,1384,8,188
40,Andre Johnson*\JohnAn02,HOU,WR,31,16,16,0,0,0,0,0,0,0,,0,162,112,1598,4,186
41,Jay Cutler\CutlJa00,CHI,QB,29,15,15,255,434,3033,19,14,41,233,5.68,0,0,0,0,0,185
42,Eric Decker\DeckEr00,DEN,WR,25,16,15,0,0,0,0,0,0,0,,0,122,85,1064,13,184
43,Julio Jones*\JoneJu02,ATL,WR,23,16,15,0,0,0,0,0,6,30,5.00,0,128,79,1198,10,183
44,Ryan Tannehill\TannRy00,MIA,QB,24,16,16,282,484,3294,12,13,49,211,4.31,2,0,0,0,0,183
45,Matt Forte\FortMa00,CHI,RB,27,15,15,0,0,0,0,0,248,1094,4.41,5,59,44,340,1,177
46,Roddy White\WhitRo00,ATL,WR,31,16,15,0,0,0,0,0,0,0,,0,142,92,1351,7,177
47,Chris Johnson\JohnCh04,TEN,RB,27,16,15,0,0,0,0,0,276,1243,4.50,6,49,36,232,0,176
48,Colin Kaepernick\KaepCo00,SFO,QB,25,13,7,136,218,1814,10,3,63,415,6.59,5,0,0,0,0,174
