Age,RuAtt,PAtt,Cmp,Pos,Fant Pt,GS,G,Int,Name,Number of Records,Rank,Rec,RuTd,ReTD,PTD,Tgt,Team,RuYPA,RuYds,ReYds,PYds
33,15,670,422,QB,346,16,16,19,Drew Brees*\BreeDr00,1,1,0,1,0,43,0,NOR,0.33,5,0,5177
29,54,552,371,QB,344,16,16,8,Aaron Rodgers*\RodgAa00,1,2,1,2,0,39,1,GNB,4.8,259,-1,4295
35,23,637,401,QB,340,16,16,8,Tom Brady*\BradTo00,1,3,0,4,0,34,0,NWE,1.39,32,0,4827
23,127,485,280,QB,323,16,16,12,Cam Newton\NewtCa00,1,4,0,8,0,19,1,CAR,5.83,741,6,3869
22,120,393,258,QB,318,15,15,5,Robert Griffin*\GrifRo01,1,5,0,7,0,20,1,WAS,6.79,815,0,3200
36,23,583,400,QB,311,16,16,11,Peyton Manning*+\MannPe00,1,6,0,0,0,37,0,DEN,0.26,6,0,4659
27,348,0,0,RB,307,16,16,0,Adrian Peterson*+\PeteAd01,1,7,40,12,1,0,51,MIN,6.03,2097,217,0
27,34,615,422,QB,305,16,16,14,Matt Ryan*\RyanMa00,1,8,0,1,0,32,0,ATL,4.15,141,0,4719
32,30,648,425,QB,279,16,16,19,Tony Romo\RomoTo00,1,9,1,1,0,28,1,DAL,1.63,49,-1,4903
24,94,393,252,QB,278,16,16,10,Russell Wilson*\WilsRu00,1,10,0,4,0,26,0,SEA,5.2,489,0,3118
23,62,627,339,QB,276,16,16,18,Andrew Luck*\LuckAn00,1,11,0,5,0,23,0,IND,4.11,255,0,4374
24,35,727,435,QB,276,16,16,17,Matthew Stafford\StafMa00,1,12,1,4,0,20,1,DET,3.6,126,3,4967
23,319,0,0,RB,263,16,16,0,Doug Martin*\MartDo00,1,13,49,11,1,0,70,TAM,4.56,1454,472,0
26,351,0,0,RB,262,16,16,0,Arian Foster*\FostAr00,1,14,40,15,2,0,58,HOU,4.06,1424,217,0
25,47,528,329,QB,251,16,16,16,Andy Dalton\DaltAn00,1,15,0,4,0,27,0,CIN,2.55,120,0,3669
24,39,558,306,QB,249,16,16,17,Josh Freeman\FreeJo00,1,16,0,0,0,27,0,TAM,3.56,139,0,4065
26,315,0,0,RB,247,15,16,0,Marshawn Lynch*+\LyncMa00,1,17,23,11,1,0,30,SEA,5.05,1590,196,0
24,335,0,0,RB,241,16,16,0,Alfred Morris\MorrAl00,1,18,11,13,0,0,16,WAS,4.81,1613,77,0
27,32,531,317,QB,235,16,16,10,Joe Flacco\FlacJo00,1,19,0,3,0,22,0,BAL,0.69,22,0,3817
31,20,536,321,QB,233,16,16,15,Eli Manning*\MannEl00,1,20,0,0,0,26,0,NYG,1.5,30,0,3948
25,36,551,328,QB,231,16,16,13,Sam Bradford\BradSa00,1,21,0,1,0,21,0,STL,3.44,124,0,3702
31,21,544,350,QB,225,16,16,12,Matt Schaub*\SchaMa00,1,22,1,0,0,22,1,HOU,-0.43,-9,-6,4008
33,18,565,345,QB,224,15,15,14,Carson Palmer\PalmCa00,1,23,0,1,0,22,0,OAK,2,36,0,4018
30,26,449,284,QB,224,13,13,8,Ben Roethlisberger\RoetBe00,1,24,0,0,0,26,0,PIT,3.54,92,0,3265
25,257,0,0,RB,222,16,16,0,Ray Rice*\RiceRa00,1,25,61,9,1,0,83,BAL,4.45,1143,478,0
27,0,0,0,WR,220,16,16,0,Calvin Johnson*+\JohnCa00,1,26,122,0,5,0,204,DET,,0,1964,0
28,1,0,0,WR,217,16,16,0,Brandon Marshall*+\MarsBr00,1,27,118,0,11,0,192,CHI,-2,-2,1508,0
30,48,505,306,QB,214,16,16,16,Ryan Fitzpatrick\FitzRy00,1,28,0,1,0,24,0,BUF,4.1,197,0,3400
25,207,0,0,RB,212,9,16,0,C.J. Spiller*\SpilC.00,1,29,43,6,2,0,57,BUF,6.01,1244,459,0
24,2,0,0,WR,208,14,16,0,Dez Bryant\BryaDe01,1,30,92,0,12,0,138,DAL,-2.5,-5,1382,0
31,27,527,338,QB,208,16,16,15,Philip Rivers\RivePh00,1,31,0,0,0,26,1,SDG,1.48,40,0,3606
26,285,0,0,RB,205,15,16,0,Jamaal Charles*\CharJa00,1,32,35,5,1,0,49,KAN,5.29,1509,236,0
22,267,0,0,RB,204,15,15,0,Trent Richardson\RichTr00,1,33,51,11,1,0,70,CLE,3.56,950,367,0
24,4,0,0,WR,203,16,16,0,A.J. Green*\GreeA.00,1,34,97,0,11,0,164,CIN,9.5,38,1350,0
23,290,0,0,RB,199,12,16,0,Stevan Ridley\RidlSt00,1,35,6,12,0,0,14,NWE,4.36,1263,51,0
29,258,0,0,RB,197,16,16,0,Frank Gore*\GoreFr00,1,36,28,8,1,0,36,SFO,4.71,1214,234,0
25,0,0,0,WR,197,16,16,0,Demaryius Thomas*\ThomDe03,1,37,94,0,10,0,143,DEN,,0,1434,0
24,60,483,300,QB,193,16,16,12,Christian Ponder\PondCh00,1,38,1,2,0,18,1,MIN,4.22,253,-15,2935
29,0,0,0,WR,188,16,16,0,Vincent Jackson*\JackVi00,1,39,72,0,8,0,147,TAM,,0,1384,0
31,0,0,0,WR,186,16,16,0,Andre Johnson*\JohnAn02,1,40,112,0,4,0,162,HOU,,0,1598,0
29,41,434,255,QB,185,15,15,14,Jay Cutler\CutlJa00,1,41,0,0,0,19,0,CHI,5.68,233,0,3033
25,0,0,0,WR,184,15,16,0,Eric Decker\DeckEr00,1,42,85,0,13,0,122,DEN,,0,1064,0
23,6,0,0,WR,183,15,16,0,Julio Jones*\JoneJu02,1,43,79,0,10,0,128,ATL,5,30,1198,0
24,49,484,282,QB,183,16,16,13,Ryan Tannehill\TannRy00,1,44,0,2,0,12,0,MIA,4.31,211,0,3294
27,248,0,0,RB,177,15,15,0,Matt Forte\FortMa00,1,45,44,5,1,0,59,CHI,4.41,1094,340,0
31,0,0,0,WR,177,15,16,0,Roddy White\WhitRo00,1,46,92,0,7,0,142,ATL,,0,1351,0
27,276,0,0,RB,176,15,16,0,Chris Johnson\JohnCh04,1,47,36,6,0,0,49,TEN,4.5,1243,232,0
25,63,218,136,QB,174,7,13,3,Colin Kaepernick\KaepCo00,1,48,0,5,0,10,0,SFO,6.59,415,0,1814
27,227,0,0,RB,172,16,16,0,Reggie Bush\BushRe00,1,49,35,6,2,0,52,MIA,4.34,986,292,0
31,2,0,0,WR,171,12,16,0,Wes Welker*\WelkWe00,1,50,118,0,6,0,174,NWE,10,20,1354,0
29,0,0,0,WR,171,13,16,0,Marques Colston\ColsMa00,1,51,83,0,10,0,130,NOR,,0,1154,0
26,0,0,0,WR,169,16,16,0,Victor Cruz*\CruzVi00,1,52,86,0,10,0,143,NYG,,0,1092,0
27,276,0,0,RB,167,14,16,0,Shonn Greene\GreeSh00,1,53,19,8,0,0,30,NYJ,3.85,1063,151,0
29,27,517,297,QB,166,15,15,17,Brandon Weeden\WeedBr00,1,54,0,0,0,14,1,CLE,4.11,111,-9,3385
25,1,0,0,WR,165,16,16,0,Michael Crabtree\CrabMi00,1,55,85,0,9,0,127,SFO,8,8,1105,0
29,258,0,0,RB,163,16,16,0,Steven Jackson\JackSt00,1,56,38,4,0,0,53,STL,4.05,1045,321,0
34,1,0,0,WR,163,15,16,0,Reggie Wayne*\WaynRe00,1,57,106,0,5,0,195,IND,-5,-5,1355,0
28,0,0,0,WR,162,16,16,0,James Jones\JoneJa04,1,58,64,0,14,0,98,GNB,,0,784,0
30,222,0,0,RB,157,16,16,0,Michael Turner\TurnMi00,1,59,19,10,1,0,30,ATL,3.6,800,128,0
26,221,0,0,RB,156,12,14,0,Ahmad Bradshaw\BradAh00,1,60,23,6,0,0,31,NYG,4.59,1015,245,0
25,0,1,1,WR,155,16,16,0,Mike Williams\WillMi04,1,61,63,0,9,0,126,TAM,,0,996,28
22,10,0,0,WR,155,8,15,0,Randall Cobb\CobbRa00,1,62,80,0,8,0,104,GNB,13.2,132,954,0
26,0,0,0,TE,152,9,15,0,Jimmy Graham\GrahJi00,1,63,85,0,9,0,135,NOR,,0,982,0
27,278,0,0,RB,152,15,15,0,BenJarvus Green-Ellis\GreeBe00,1,64,22,6,0,0,30,CIN,3.94,1094,104,0
32,62,351,204,QB,152,10,10,10,Michael Vick\VickMi00,1,65,0,1,0,12,0,PHI,5.35,332,0,2362
22,215,0,0,RB,149,14,14,0,Mikel Leshoure\LeshMi00,1,66,34,9,0,0,49,DET,3.71,798,214,0
24,200,0,0,RB,145,12,12,0,LeSean McCoy\McCoLe01,1,67,54,2,3,0,67,PHI,4.2,840,373,0
23,0,0,0,TE,143,11,11,0,Rob Gronkowski*\GronRo00,1,68,55,0,11,0,79,NWE,,0,790,0
33,3,0,0,WR,142,16,16,0,Steve Smith\SmitSt01,1,69,73,0,4,0,137,CAR,9,27,1174,0
36,0,0,0,TE,141,16,16,0,Tony Gonzalez*+\GonzTo00,1,70,93,0,8,0,124,ATL,,0,930,0
29,48,0,0,RB,141,6,13,0,Darren Sproles\SproDa00,1,71,75,1,7,0,104,NOR,5.08,244,667,0
29,0,0,0,WR,140,7,15,0,Lance Moore\MoorLa00,1,72,65,0,6,0,104,NOR,,0,1041,0
26,0,0,0,WR,139,16,16,0,Steve Johnson\JohnSt00,1,73,79,0,6,0,148,BUF,,0,1046,0
25,1,0,0,WR,138,9,14,0,Cecil Shorts\ShorCe00,1,74,55,0,7,0,105,JAX,-4,-4,979,0
23,3,0,0,WR,134,16,16,0,Torrey Smith\SmitTo02,1,75,49,0,8,0,110,BAL,3,9,855,0
30,0,0,0,TE,132,15,15,0,Heath Miller*\MillHe00,1,76,71,0,8,0,101,PIT,,0,816,0
