Rk,Name,Age,Date,Lg,Tm,H/A,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,FantPt,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Fmb,FGM,FGA,XPM,XPA
1,Eric Decker\DeckEr00,26-261,2013-12-01,NFL,DEN,@,KAN,W 35-28,12,13,Sun,0,0,,0,12,8,174,21.75,4,66.7%,14.50,41.40,52.4,45.4,0,0,0,0,0,0,,,,
2,Andre Johnson\JohnAn02,32-115,2013-11-03,NFL,HOU,,IND,L 24-27,8,9,Sun,0,0,,0,13,9,229,25.44,3,69.2%,17.62,40.90,52.9,45.4,0,0,0,0,0,0,,,,
3,Josh Gordon\GordJo02,22-232,2013-12-01,NFL,CLE,,JAX,L 28-32,12,13,Sun,0,0,,0,15,10,261,26.10,2,66.7%,17.40,38.10,51.1,43.1,0,0,0,0,0,0,,,,
4,Alshon Jeffery\JeffAl00,23-290,2013-12-01,NFL,CHI,@,MIN,L 20-23,12,13,Sun,1,0,0.00,0,15,12,249,20.75,2,80.0%,16.60,36.90,51.9,42.9,0,0,0,0,0,0,,,,
5,Marvin Jones\JoneMa02,23-229,2013-10-27,NFL,CIN,,NYJ,W 49-9,8,8,Sun,0,0,,0,8,8,122,15.25,4,100.0%,15.25,36.20,47.2,40.2,0,0,0,0,0,0,,,,
6,Julio Jones\JoneJu02,27-242,2016-10-02,NFL,ATL,,CAR,W 48-33,4,4,Sun,0,0,,0,15,12,300,25.00,1,80.0%,20.00,36.00,51.0,42.0,0,0,0,0,0,0,,,,
7,DeAndre Hopkins\HopkDe00,22-177,2014-11-30,NFL,HOU,,TEN,W 45-21,12,13,Sun,0,0,,0,9,9,238,26.44,2,100.0%,26.44,35.80,47.8,40.3,0,0,0,0,0,0,,,,
8,A.J. Green\GreeA.00,27-058,2015-09-27,NFL,CIN,@,BAL,W 28-24,3,3,Sun,0,0,,0,13,10,227,22.70,2,76.9%,17.46,34.70,47.7,39.7,0,0,0,0,0,0,,,,
9,Demaryius Thomas\ThomDe03,26-284,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,0,0,,0,16,8,226,28.25,2,50.0%,14.13,34.60,45.6,38.6,0,0,0,0,0,0,,,,
10,Dez Bryant\BryaDe01,24-049,2012-12-23,NFL,DAL,,NOR,L 31-34,15,16,Sun,0,0,,0,12,9,224,24.89,2,75.0%,18.67,34.40,46.4,38.9,0,0,0,0,0,0,,,,
11,Riley Cooper\CoopRi00,26-055,2013-11-03,NFL,PHI,@,OAK,W 49-20,9,9,Sun,0,18,,0,6,5,139,27.80,3,83.3%,23.17,33.70,41.7,36.2,0,0,0,0,0,0,,,,
12,Andre Johnson\JohnAn02,31-130,2012-11-18,NFL,HOU,,JAX,W 43-37,10,11,Sun,0,0,,0,19,14,273,19.50,1,73.7%,14.37,33.30,50.3,40.3,0,0,0,0,0,0,,,,
13,Allen Robinson\RobiAl02,22-104,2015-12-06,NFL,JAX,@,TEN,L 39-42,12,13,Sun,0,0,,0,15,10,153,15.30,3,66.7%,10.20,33.30,46.3,38.3,0,0,0,0,0,0,,,,
14,Mike Evans\EvanMi00,21-087,2014-11-16,NFL,TAM,@,WAS,W 27-7,10,11,Sun,0,0,,0,9,7,209,29.86,2,77.8%,23.22,32.90,42.9,36.4,0,0,0,0,0,0,,,,
15,Adam Thielen\ThieAd00,26-124,2016-12-24,NFL,MIN,@,GNB,L 25-38,15,16,Sat,1,4,4.00,0,15,12,202,16.83,2,80.0%,13.47,32.60,47.6,38.6,0,0,0,0,0,0,,,,
16,Doug Baldwin\BaldDo00,27-069,2015-11-29,NFL,SEA,,PIT,W 39-30,11,12,Sun,0,0,,0,8,6,145,24.17,3,75.0%,18.13,32.50,41.5,35.5,0,0,0,0,0,0,,,,
17,Marvin Jones\JoneMa02,26-197,2016-09-25,NFL,DET,@,GNB,L 27-34,3,3,Sun,0,0,,0,8,6,205,34.17,2,75.0%,25.63,32.50,41.5,35.5,0,0,0,0,0,0,,,,
18,Odell Beckham\BeckOd00,23-346,2016-10-16,NFL,NYG,,BAL,W 27-23,6,6,Sun,0,0,,0,10,8,222,27.75,2,80.0%,22.20,32.20,44.2,36.2,0,0,0,0,0,1,,,,
19,Julio Jones\JoneJu02,25-308,2014-12-08,NFL,ATL,@,GNB,L 37-43,13,14,Mon,0,0,,0,17,11,259,23.55,1,64.7%,15.24,31.90,45.9,37.4,0,0,0,0,0,0,,,,
20,Antonio Brown\BrowAn04,25-074,2013-09-22,NFL,PIT,,CHI,L 23-40,3,3,Sun,0,0,,0,13,9,196,21.78,2,69.2%,15.08,31.60,43.6,36.1,0,0,0,0,0,0,,,,
21,Brian Hartline\HartBr00,25-313,2012-09-30,NFL,MIA,@,ARI,L 21-24,4,4,Sun,0,0,,0,19,12,253,21.08,1,63.2%,13.32,31.30,46.3,37.3,0,0,0,0,0,0,,,,
22,Marques Colston\ColsMa00,29-124,2012-10-07,NFL,NOR,,SDG,W 31-24,5,5,Sun,0,0,,0,18,9,131,14.56,3,50.0%,7.28,31.10,43.1,35.6,0,0,0,0,0,0,,,,
23,Odell Beckham\BeckOd00,22-361,2015-11-01,NFL,NYG,@,NOR,L 49-52,8,8,Sun,0,0,,0,9,8,130,16.25,3,88.9%,14.44,31.00,42.0,35.0,0,0,0,0,0,0,,,,
24,Antonio Brown\BrowAn04,27-163,2015-12-20,NFL,PIT,,DEN,W 34-27,14,15,Sun,0,0,,0,18,16,189,11.81,2,88.9%,10.50,30.90,49.9,38.9,0,0,0,0,0,0,,,,
25,Jeremy Maclin\MaclJe00,26-168,2014-10-26,NFL,PHI,@,ARI,L 20-24,7,8,Sun,0,0,,0,16,12,187,15.58,2,75.0%,11.69,30.70,45.7,36.7,0,0,0,0,0,0,,,,
26,Brandin Cooks\CookBr00,23-084,2016-12-18,NFL,NOR,@,ARI,W 48-41,14,15,Sun,0,0,,0,8,7,186,26.57,2,87.5%,23.25,30.60,40.6,34.1,0,0,0,0,0,0,,,,
27,Emmanuel Sanders\SandEm00,27-221,2014-10-23,NFL,DEN,,SDG,W 35-21,7,8,Thu,1,6,6.00,0,9,9,120,13.33,3,100.0%,13.33,30.60,42.6,35.1,0,0,0,0,0,1,,,,
28,Steve Smith\SmitSt01,36-138,2015-09-27,NFL,BAL,,CIN,L 24-28,3,3,Sun,0,0,,0,17,13,186,14.31,2,76.5%,10.94,30.60,46.6,37.1,0,0,0,0,0,0,,,,
29,Odell Beckham\BeckOd00,22-039,2014-12-14,NFL,NYG,,WAS,W 24-13,14,15,Sun,1,0,0.00,0,15,12,143,11.92,3,80.0%,9.53,30.30,46.3,36.3,0,0,0,0,0,1,,,,
30,Brandon Marshall\MarsBr00,28-226,2012-11-04,NFL,CHI,@,TEN,W 51-20,8,9,Sun,0,0,,0,10,9,122,13.56,3,90.0%,12.20,30.20,42.2,34.7,0,0,0,0,0,0,,,,
31,T.Y. Hilton\HiltT.00,23-354,2013-11-03,NFL,IND,@,HOU,W 27-24,8,9,Sun,0,0,,0,12,7,121,17.29,3,58.3%,10.08,30.10,40.1,33.6,0,0,0,0,0,0,,,,
32,Jordy Nelson\NelsJo00,27-136,2012-10-14,NFL,GNB,@,HOU,W 42-24,6,6,Sun,0,0,,0,12,9,121,13.44,3,75.0%,10.08,30.10,42.1,34.6,0,0,0,0,0,0,,,,
33,Victor Cruz\CruzVi00,26-301,2013-09-08,NFL,NYG,@,DAL,L 31-36,1,1,Sun,0,0,,0,8,5,118,23.60,3,62.5%,14.75,29.80,37.8,32.3,0,0,0,0,0,0,,,,
34,Josh Gordon\GordJo02,22-225,2013-11-24,NFL,CLE,,PIT,L 11-27,11,12,Sun,0,0,,0,17,14,237,16.93,1,82.4%,13.94,29.70,46.7,36.7,0,0,0,0,0,0,,,,
35,Justin Blackmon\BlacJu00,22-314,2012-11-18,NFL,JAX,@,HOU,L 37-43,10,11,Sun,0,0,,0,13,7,236,33.71,1,53.8%,18.15,29.60,39.6,33.1,0,0,0,0,0,0,,,,
36,Dez Bryant\BryaDe01,26-040,2014-12-14,NFL,DAL,@,PHI,W 38-27,14,15,Sun,0,0,,0,7,6,114,19.00,3,85.7%,16.29,29.40,38.4,32.4,0,0,0,0,0,0,,,,
37,Michael Crabtree\CrabMi00,25-107,2012-12-30,NFL,SFO,,ARI,W 27-13,16,17,Sun,0,0,,0,13,8,172,21.50,2,61.5%,13.23,29.20,40.2,33.2,0,0,0,0,0,0,,,,
38,Larry Fitzgerald\FitzLa00,32-020,2015-09-20,NFL,ARI,@,CHI,W 48-23,2,2,Sun,0,0,,0,9,8,112,14.00,3,88.9%,12.44,29.20,40.2,33.2,0,0,0,0,0,0,,,,
39,Demaryius Thomas\ThomDe03,26-298,2014-10-19,NFL,DEN,,SFO,W 42-17,6,7,Sun,0,0,,0,9,8,171,21.38,2,88.9%,19.00,29.10,40.1,33.1,0,0,0,0,0,0,,,,
40,Demaryius Thomas\ThomDe03,25-320,2013-11-10,NFL,DEN,@,SDG,W 28-20,9,10,Sun,0,0,,0,10,7,108,15.43,3,70.0%,10.80,28.80,38.8,32.3,0,0,0,0,0,0,,,,
41,Odell Beckham\BeckOd00,23-039,2015-12-14,NFL,NYG,@,MIA,W 31-24,13,14,Mon,0,0,,0,9,7,166,23.71,2,77.8%,18.44,28.60,38.6,32.1,0,0,0,0,0,0,,,,
42,Antonio Brown\BrowAn04,27-121,2015-11-08,NFL,PIT,,OAK,W 38-35,9,9,Sun,2,22,11.00,0,23,17,284,16.71,0,73.9%,12.35,28.60,49.6,37.1,0,0,0,0,0,1,,,,
43,A.J. Green\GreeA.00,26-129,2014-12-07,NFL,CIN,,PIT,L 21-42,13,14,Sun,0,0,,0,15,11,224,20.36,1,73.3%,14.93,28.40,42.4,33.9,0,0,0,0,0,0,,,,
44,Julio Jones\JoneJu02,26-236,2015-09-27,NFL,ATL,@,DAL,W 39-28,3,3,Sun,0,0,,0,20,12,164,13.67,2,60.0%,8.20,28.40,43.4,34.4,0,0,0,0,0,0,,,,
45,Randall Cobb\CobbRa00,25-037,2015-09-28,NFL,GNB,,KAN,W 38-28,3,3,Mon,1,12,12.00,0,12,7,91,13.00,3,58.3%,7.58,28.30,35.3,31.8,0,0,0,0,0,0,,,,
46,T.Y. Hilton\HiltT.00,24-329,2014-10-09,NFL,IND,@,HOU,W 33-28,6,6,Thu,0,0,,0,9,9,223,24.78,1,100.0%,24.78,28.30,40.3,32.8,0,0,0,0,0,0,,,,
