Age,PAtt,RuAtt,Cmp,Ctch%,DK Pt,Date,Day,FD Pt,Fant Pt,Fmb,G#,H/A,Int,Lg,Name,Number of Records,Opp,Rec,Result,Rk,ReTd,PTd,RuTD,Tgt,Tm,Week,RuY/A,ReY/R,ReY/Tgt,ReYds,PYds,RuYds
26-261,0,0,0,0.667,52.4,12/1/13,Sun,45.4,41.4,0,12,@,0,NFL,Eric Decker\DeckEr00,1,KAN,8,W 35-28,1,4,0,0,12,DEN,13,,21.75,14.5,174,0,0
32-115,0,0,0,0.692,52.9,11/3/13,Sun,45.4,40.9,0,8,,0,NFL,Andre Johnson\JohnAn02,1,IND,9,L 24-27,2,3,0,0,13,HOU,9,,25.44,17.62,229,0,0
22-232,0,0,0,0.667,51.1,12/1/13,Sun,43.1,38.1,0,12,,0,NFL,Josh Gordon\GordJo02,1,JAX,10,L 28-32,3,2,0,0,15,CLE,13,,26.1,17.4,261,0,0
23-290,0,1,0,0.8,51.9,12/1/13,Sun,42.9,36.9,0,12,@,0,NFL,Alshon Jeffery\JeffAl00,1,MIN,12,L 20-23,4,2,0,0,15,CHI,13,0,20.75,16.6,249,0,0
23-229,0,0,0,1,47.2,10/27/13,Sun,40.2,36.2,0,8,,0,NFL,Marvin Jones\JoneMa02,1,NYJ,8,W 49-9,5,4,0,0,8,CIN,8,,15.25,15.25,122,0,0
27-242,0,0,0,0.8,51,10/2/16,Sun,42,36,0,4,,0,NFL,Julio Jones\JoneJu02,1,CAR,12,W 48-33,6,1,0,0,15,ATL,4,,25,20,300,0,0
22-177,0,0,0,1,47.8,11/30/14,Sun,40.3,35.8,0,12,,0,NFL,DeAndre Hopkins\HopkDe00,1,TEN,9,W 45-21,7,2,0,0,9,HOU,13,,26.44,26.44,238,0,0
27-058,0,0,0,0.769,47.7,9/27/15,Sun,39.7,34.7,0,3,@,0,NFL,A.J. Green\GreeA.00,1,BAL,10,W 28-24,8,2,0,0,13,CIN,3,,22.7,17.46,227,0,0
26-284,0,0,0,0.5,45.6,10/5/14,Sun,38.6,34.6,0,4,,0,NFL,Demaryius Thomas\ThomDe03,1,ARI,8,W 41-20,9,2,0,0,16,DEN,5,,28.25,14.13,226,0,0
24-049,0,0,0,0.75,46.4,12/23/12,Sun,38.9,34.4,0,15,,0,NFL,Dez Bryant\BryaDe01,1,NOR,9,L 31-34,10,2,0,0,12,DAL,16,,24.89,18.67,224,0,0
26-055,0,0,0,0.833,41.7,11/3/13,Sun,36.2,33.7,0,9,@,0,NFL,Riley Cooper\CoopRi00,1,OAK,5,W 49-20,11,3,0,0,6,PHI,9,,27.8,23.17,139,0,18
31-130,0,0,0,0.737,50.3,11/18/12,Sun,40.3,33.3,0,10,,0,NFL,Andre Johnson\JohnAn02,1,JAX,14,W 43-37,12,1,0,0,19,HOU,11,,19.5,14.37,273,0,0
22-104,0,0,0,0.667,46.3,12/6/15,Sun,38.3,33.3,0,12,@,0,NFL,Allen Robinson\RobiAl02,1,TEN,10,L 39-42,13,3,0,0,15,JAX,13,,15.3,10.2,153,0,0
21-087,0,0,0,0.778,42.9,11/16/14,Sun,36.4,32.9,0,10,@,0,NFL,Mike Evans\EvanMi00,1,WAS,7,W 27-7,14,2,0,0,9,TAM,11,,29.86,23.22,209,0,0
26-124,0,1,0,0.8,47.6,12/24/16,Sat,38.6,32.6,0,15,@,0,NFL,Adam Thielen\ThieAd00,1,GNB,12,L 25-38,15,2,0,0,15,MIN,16,4,16.83,13.47,202,0,4
27-069,0,0,0,0.75,41.5,11/29/15,Sun,35.5,32.5,0,11,,0,NFL,Doug Baldwin\BaldDo00,1,PIT,6,W 39-30,16,3,0,0,8,SEA,12,,24.17,18.13,145,0,0
26-197,0,0,0,0.75,41.5,9/25/16,Sun,35.5,32.5,0,3,@,0,NFL,Marvin Jones\JoneMa02,1,GNB,6,L 27-34,17,2,0,0,8,DET,3,,34.17,25.63,205,0,0
23-346,0,0,0,0.8,44.2,10/16/16,Sun,36.2,32.2,1,6,,0,NFL,Odell Beckham\BeckOd00,1,BAL,8,W 27-23,18,2,0,0,10,NYG,6,,27.75,22.2,222,0,0
25-308,0,0,0,0.647,45.9,12/8/14,Mon,37.4,31.9,0,13,@,0,NFL,Julio Jones\JoneJu02,1,GNB,11,L 37-43,19,1,0,0,17,ATL,14,,23.55,15.24,259,0,0
25-074,0,0,0,0.692,43.6,9/22/13,Sun,36.1,31.6,0,3,,0,NFL,Antonio Brown\BrowAn04,1,CHI,9,L 23-40,20,2,0,0,13,PIT,3,,21.78,15.08,196,0,0
25-313,0,0,0,0.632,46.3,9/30/12,Sun,37.3,31.3,0,4,@,0,NFL,Brian Hartline\HartBr00,1,ARI,12,L 21-24,21,1,0,0,19,MIA,4,,21.08,13.32,253,0,0
29-124,0,0,0,0.5,43.1,10/7/12,Sun,35.6,31.1,0,5,,0,NFL,Marques Colston\ColsMa00,1,SDG,9,W 31-24,22,3,0,0,18,NOR,5,,14.56,7.28,131,0,0
22-361,0,0,0,0.889,42,11/1/15,Sun,35,31,0,8,@,0,NFL,Odell Beckham\BeckOd00,1,NOR,8,L 49-52,23,3,0,0,9,NYG,8,,16.25,14.44,130,0,0
27-163,0,0,0,0.889,49.9,12/20/15,Sun,38.9,30.9,0,14,,0,NFL,Antonio Brown\BrowAn04,1,DEN,16,W 34-27,24,2,0,0,18,PIT,15,,11.81,10.5,189,0,0
