Z0.01,Z0.02,Z0.03,Z0.04,Z0.05,Z0.06,Z0.07,Z0.08,Z0.09,Z0,Number of Records,Z
0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00003,1,-4
0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00005,1,-3.9
0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00007,1,-3.8
0.0001,0.0001,0.0001,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00011,1,-3.7
0.00015,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00016,1,-3.6
0.00022,0.00022,0.00021,0.0002,0.00019,0.00019,0.00018,0.00017,0.00017,0.00023,1,-3.5
0.00032,0.00031,0.0003,0.00029,0.00028,0.00027,0.00026,0.00025,0.00024,0.00034,1,-3.4
0.00047,0.00045,0.00043,0.00042,0.0004,0.00039,0.00038,0.00036,0.00035,0.00048,1,-3.3
0.00066,0.00064,0.00062,0.0006,0.00058,0.00056,0.00054,0.00052,0.0005,0.00069,1,-3.2
0.00094,0.0009,0.00087,0.00084,0.00082,0.00079,0.00076,0.00074,0.00071,0.00097,1,-3.1
0.00131,0.00126,0.00122,0.00118,0.00114,0.00111,0.00107,0.00103,0.001,0.00135,1,-3
0.00181,0.00175,0.00169,0.00164,0.00159,0.00154,0.00149,0.00144,0.00139,0.00187,1,-2.9
0.00248,0.0024,0.00233,0.00226,0.00219,0.00212,0.00205,0.00199,0.00193,0.00256,1,-2.8
0.00336,0.00326,0.00317,0.00307,0.00298,0.00289,0.0028,0.00272,0.00264,0.00347,1,-2.7
0.00453,0.0044,0.00427,0.00415,0.00402,0.00391,0.00379,0.00368,0.00357,0.00466,1,-2.6
0.00604,0.00587,0.0057,0.00554,0.00539,0.00523,0.00508,0.00494,0.0048,0.00621,1,-2.5
0.00798,0.00776,0.00755,0.00734,0.00714,0.00695,0.00676,0.00657,0.00639,0.0082,1,-2.4
0.01044,0.01017,0.0099,0.00964,0.00939,0.00914,0.00889,0.00866,0.00842,0.01072,1,-2.3
0.01355,0.01321,0.01287,0.01255,0.01222,0.01191,0.0116,0.0113,0.01101,0.0139,1,-2.2
0.01743,0.017,0.01659,0.01618,0.01578,0.01539,0.015,0.01463,0.01426,0.01786,1,-2.1
0.02222,0.02169,0.02118,0.02067,0.02018,0.0197,0.01923,0.01876,0.01831,0.02275,1,-2
0.02807,0.02743,0.0268,0.02619,0.02559,0.025,0.02442,0.02385,0.0233,0.02872,1,-1.9
0.03515,0.03438,0.03362,0.03288,0.03216,0.03144,0.03074,0.03005,0.02938,0.03593,1,-1.8
0.04363,0.04272,0.04181,0.04093,0.04006,0.0392,0.03836,0.03754,0.03673,0.04456,1,-1.7
0.0537,0.05262,0.05155,0.0505,0.04947,0.04846,0.04746,0.04648,0.04551,0.0548,1,-1.6
0.06552,0.06425,0.06301,0.06178,0.06057,0.05938,0.05821,0.05705,0.05592,0.06681,1,-1.5
0.07927,0.0778,0.07636,0.07493,0.07353,0.07214,0.07078,0.06944,0.06811,0.08076,1,-1.4
0.0951,0.09342,0.09176,0.09012,0.08851,0.08691,0.08534,0.08379,0.08226,0.0968,1,-1.3
0.11314,0.11123,0.10935,0.10749,0.10565,0.10383,0.10204,0.10027,0.09852,0.11507,1,-1.2
0.1335,0.13136,0.12924,0.12714,0.12507,0.12302,0.121,0.119,0.11702,0.13566,1,-1.1
0.15625,0.15386,0.1515,0.14917,0.14686,0.14457,0.14231,0.14007,0.13786,0.15865,1,-1
0.18141,0.17878,0.17618,0.17361,0.17105,0.16853,0.16602,0.16354,0.16109,0.18406,1,-0.9
0.20897,0.20611,0.20327,0.20045,0.19766,0.19489,0.19215,0.18943,0.18673,0.21185,1,-0.8
0.23885,0.23576,0.23269,0.22965,0.22663,0.22363,0.22065,0.21769,0.21476,0.24196,1,-0.7
0.27093,0.26763,0.26434,0.26108,0.25784,0.25462,0.25143,0.24825,0.24509,0.27425,1,-0.6
0.30502,0.30153,0.29805,0.2946,0.29116,0.28774,0.28434,0.28095,0.27759,0.30853,1,-0.5
0.3409,0.33724,0.33359,0.32997,0.32635,0.32276,0.31917,0.31561,0.31206,0.34457,1,-0.4
0.37828,0.37448,0.3707,0.36692,0.36317,0.35942,0.35569,0.35197,0.34826,0.38209,1,-0.3
0.41683,0.41293,0.40904,0.40516,0.40129,0.39743,0.39358,0.38974,0.3859,0.42074,1,-0.2
0.4562,0.45224,0.44828,0.44433,0.44038,0.43644,0.4325,0.42857,0.42465,0.46017,1,-0.1
0.49601,0.49202,0.48803,0.48404,0.48006,0.47607,0.47209,0.46811,0.46414,0.5,1,0
